"","GOR","Region_Name","sex","age_group","pop_raw",".groups","region","ethnicity","N","ethnicity_per","pop"
"517",8,"South_East_England","Female","(50,70]",1143370.58231758,"drop","E12000008","Black",17215.8573774406,0.0151154179669498,17282.5242428451
"518",8,"South_East_England","Female","(50,70]",1143370.58231758,"drop","E12000008","Mixed",9768.49195502129,0.00857667646575755,9806.31956500272
"519",8,"South_East_England","Female","(50,70]",1143370.58231758,"drop","E12000008","Other",4856.32924488407,0.0042638275115902,4875.13494482862
"520",8,"South_East_England","Female","(50,70]",1143370.58231758,"drop","E12000008","White",1061225.89189498,0.931749872321862,1065335.39409098
"521",8,"South_East_England","Female","(70, Inf]",658111.308717918,"drop","E12000008","Asian",12778.2910668779,0.0180932986419013,11907.4044482458
"522",8,"South_East_England","Female","(70, Inf]",658111.308717918,"drop","E12000008","Black",3302.2453863853,0.00467578267328578,3077.18545439667
"523",8,"South_East_England","Female","(70, Inf]",658111.308717918,"drop","E12000008","Mixed",2760.92043361946,0.00390929879985978,2572.75374934511
"524",8,"South_East_England","Female","(70, Inf]",658111.308717918,"drop","E12000008","Other",1444.4120053179,0.00204520132131798,1345.97011816419
"525",8,"South_East_England","Female","(70, Inf]",658111.308717918,"drop","E12000008","White",685958.543460851,0.971276418563635,639207.994947766
"526",8,"South_East_England","Male","(-Inf,1]",98361.2777152895,"drop","E12000008","Asian",10861.5926250537,0.0993073497985522,9767.99781270479
"527",8,"South_East_England","Male","(-Inf,1]",98361.2777152895,"drop","E12000008","Black",3206.67395968279,0.0293185634553804,2883.81136224801
"528",8,"South_East_England","Male","(-Inf,1]",98361.2777152895,"drop","E12000008","Mixed",5972.44103161253,0.0546059230125694,5371.10835833906
"529",8,"South_East_England","Male","(-Inf,1]",98361.2777152895,"drop","E12000008","Other",652.974054831818,0.0059701302664389,587.229641133652
"530",8,"South_East_England","Male","(-Inf,1]",98361.2777152895,"drop","E12000008","White",88679.8203615158,0.810798033467059,79751.130540864
"531",8,"South_East_England","Male","(1,11]",577995.621895565,"drop","E12000008","Asian",50276.6983688057,0.0880979712529931,50920.2416821114
"532",8,"South_East_England","Male","(1,11]",577995.621895565,"drop","E12000008","Black",15087.4969919353,0.0264372546209165,15280.617425828
"533",8,"South_East_England","Male","(1,11]",577995.621895565,"drop","E12000008","Mixed",32859.2930562475,0.0575781057425019,33279.893036206
"534",8,"South_East_England","Male","(1,11]",577995.621895565,"drop","E12000008","Other",3960.10229349694,0.00693913859363261,4010.7917268462
"535",8,"South_East_England","Male","(1,11]",577995.621895565,"drop","E12000008","White",468507.171559452,0.820947529789956,474504.078024574
"536",8,"South_East_England","Male","(11,16]",277554.224630458,"drop","E12000008","Asian",20622.9256261448,0.0736616035812598,20445.0892670327
"537",8,"South_East_England","Male","(11,16]",277554.224630458,"drop","E12000008","Black",7032.79031090132,0.0251199379439638,6972.1448988021
"538",8,"South_East_England","Male","(11,16]",277554.224630458,"drop","E12000008","Mixed",16059.0795061618,0.0573603168583973,15920.5982701898
"539",8,"South_East_England","Male","(11,16]",277554.224630458,"drop","E12000008","Other",2600.31314866041,0.00928787892736865,2577.89003414737
"540",8,"South_East_England","Male","(11,16]",277554.224630458,"drop","E12000008","White",233653.350191337,0.83457026268901,231638.502160286
"541",8,"South_East_England","Male","(16,25]",444774.288749449,"drop","E12000008","Asian",40890.5758118891,0.0840746214414336,37394.2299534928
"542",8,"South_East_England","Male","(16,25]",444774.288749449,"drop","E12000008","Black",12964.4163643676,0.0266559806606201,11855.8948392464
"543",8,"South_East_England","Male","(16,25]",444774.288749449,"drop","E12000008","Mixed",19289.4446475018,0.0396607952897223,17640.1020162238
"544",8,"South_East_England","Male","(16,25]",444774.288749449,"drop","E12000008","Other",5212.56939647494,0.0107175012834721,4766.8690105276
"545",8,"South_East_England","Male","(16,25]",444774.288749449,"drop","E12000008","White",408003.504369439,0.838891101324752,373117.192929959
"546",8,"South_East_England","Male","(25,50]",1415547.19134881,"drop","E12000008","Asian",140649.832446327,0.0957816443026106,135583.437575331
"547",8,"South_East_England","Male","(25,50]",1415547.19134881,"drop","E12000008","Black",35143.175323778,0.0239322796193938,33877.2711978073
"548",8,"South_East_England","Male","(25,50]",1415547.19134881,"drop","E12000008","Mixed",28497.3906863916,0.0194065424096264,27470.8766017382
"549",8,"South_East_England","Male","(25,50]",1415547.19134881,"drop","E12000008","Other",17568.3487335153,0.0119639341200063,16935.5133410571
"550",8,"South_East_England","Male","(25,50]",1415547.19134881,"drop","E12000008","White",1246583.70303522,0.848915599548363,1201680.09263288
"551",8,"South_East_England","Male","(50,70]",1099323.06133513,"drop","E12000008","Asian",40588.6303461497,0.0372220294932594,40919.0354116366
"552",8,"South_East_England","Male","(50,70]",1099323.06133513,"drop","E12000008","Black",16338.7569124868,0.0149835480156199,16471.7598741932
"553",8,"South_East_England","Male","(50,70]",1099323.06133513,"drop","E12000008","Mixed",9046.15403653843,0.0082958259364015,9119.79276470829
"554",8,"South_East_England","Male","(50,70]",1099323.06133513,"drop","E12000008","Other",6258.7351495688,0.0057396079232284,6309.68335302683
"555",8,"South_East_England","Male","(50,70]",1099323.06133513,"drop","E12000008","White",1018214.18493104,0.933758988631491,1026502.78993157
"556",8,"South_East_England","Male","(70, Inf]",546773.298077349,"drop","E12000008","Asian",10909.0792208411,0.0189712782178184,10372.9883598995
"557",8,"South_East_England","Male","(70, Inf]",546773.298077349,"drop","E12000008","Black",2599.17378449234,0.00452005600141402,2471.44592738746
"558",8,"South_East_England","Male","(70, Inf]",546773.298077349,"drop","E12000008","Mixed",2182.32030733699,0.00379513292302343,2075.07734496345
"559",8,"South_East_England","Male","(70, Inf]",546773.298077349,"drop","E12000008","Other",1611.29213261257,0.00280209454154262,1532.11047400379
"560",8,"South_East_England","Male","(70, Inf]",546773.298077349,"drop","E12000008","White",557729.457989478,0.969911438316202,530321.675971095
"561",9,"South_West_England","Female","(-Inf,1]",53938.2321795722,"drop","E12000009","Asian",2408.15031705394,0.041726474466335,2250.65226780017
"562",9,"South_West_England","Female","(-Inf,1]",53938.2321795722,"drop","E12000009","Black",959.504461747042,0.0166255146698659,896.750870368111
"563",9,"South_West_England","Female","(-Inf,1]",53938.2321795722,"drop","E12000009","Mixed",2542.19937170517,0.044049167703767,2375.9342349227
"564",9,"South_West_England","Female","(-Inf,1]",53938.2321795722,"drop","E12000009","Other",183.139916376096,0.00317329985188909,171.162184186596
"565",9,"South_West_England","Female","(-Inf,1]",53938.2321795722,"drop","E12000009","White",51619.7733752087,0.894425543308143,48243.7326222946
